name	statement	
 stranger	 ahda	
 mj	 ☺	
 mj	 Twins aano di	
 stranger	 yada	
 mj	 ☺	
 stranger	 cousins 	
kattu bujji kal		
oru rakshyumilla 		
karyavattom ipo pG chyya		
 mj	 🤭	
 mj	 Neeyum mosham allaa	
 stranger	 poda ninku alu mariya ithu fathima nishma ya ketta	
 mj	 Njan avalode thanna paranje 😀	
 stranger	 🤦🏻‍♀	
 stranger	 ninku alu mari makane	
 mj	 Fathima Nishma 🤭	
 stranger	 nthuada	
 mj	 Nee thanna	
 stranger	 yyaa hihi	
 mj	 😛	
 stranger	 evdada ni	
 stranger	 dty	
 mj	 Ade de	
 mj	 👌🏻	
 stranger	 😇	
 mj	 Miss panniyache	
 stranger	 🙁yaya	
 mj	 Work undairunne	
 mj	 Book fair nadathende enda chumadala aairunne	
 stranger	 hahahahhaha	
 stranger	 enittu nthayi	
 mj	 Nadathi ✌🏻	
 stranger	 policha	
 mj	 Pinnallah 😅	
 stranger	 hihi	
 mj	 Inne engana undairunne	
 stranger	 <Media omitted>	
 mj	 😍	
 mj	 😘	
 stranger	 😍	
 mj	 Avale enna parayunne nail okke vettikodutha	
 stranger	 hihi	
 stranger	 koduttada	
 stranger	 <Media omitted>	
 mj	 😍	
 mj	 Nee aa kochine vazhi thettikkum	
 stranger	 hihi poda	
 mj	 Selfi prande avalem padippicha	
 stranger	 illa bt selfie nu aruparanjalm pone ilottu nokikolm	
 mj	 Aaha ☺ ninde alle mole bappayum moshakaran allalla	
 mj	 Reach home	
 mj	 Ningale foodiya?	
 mj	 Njan foodan pone	
 stranger	 ahda njn fudi	
 stranger	 nkil nadakatte	
 stranger	 hihi  pinalla	
 mj	 ✌🏻	
 stranger	 da	
 stranger	 enikoru help venarnu	
 stranger	 oru 1000 rps venarnu 	
through tez da 		
2 nov athaythu mattanal njn ninku tarum sure da 		
ninte kano 		
🙁😓		
 mj	 Naala madiyo	
 stranger	 eniku tez throug arnada vende	
 mj	 Ippo urgent aano?	
 mj	 Tez unde	
 stranger	 nintel indo	
 mj	 AC balance 1500 unde	
 stranger	 ano	
 mj	 Ippo urgent aanel ayakkam	
 mj	 Nee no para	
 stranger	 da	
 mj	 Yes	
 stranger	 kozhapamilla cash set ayi	
 mj	 Aaya 😅👍🏻	
 mj	 Naalaya salary day ☺	
 stranger	 <Media omitted>	
 stranger	 😇	
 mj	 ☺👍🏻	
 mj	 Le Arabia ponde 😁	
 stranger	 yada	
 stranger	 ittavana cash idumbo pokam 	
njn athu alochichirikarnu		
 stranger	 ponathu patty 😃	
 mj	 😁	
 mj	 Njan phone eduthe	
 stranger	 ana	
 stranger	 ethuda	
 mj	 I buy a phone enne	
 stranger	 etha na choiche	
 mj	 Asus Zenfone max pro m1 😁	
 stranger	 engnind	
 mj	 It's best for me	
 mj	 ☺	
 mj	 Kollallo	
 stranger	 hihi match kanan poyapo eduttaya	
 mj	 👍🏻😄	
 stranger	 ninku tez indada	
 mj	 Inde	
 stranger	 ana sht	
 mj	 What happened?	
 stranger	 😬ille download chyykinarnu	
 mj	 Enikke kure naalaai unde	
 stranger	 hihi	
 mj	 😁	
 mj	 😐	
 stranger	 nthda	
 mj	 Sorry aa status endairunne? 😕	
 stranger	 ah	
 mj	 Nannai 🤦🏻‍♂ enikke oorma illaaaaa	
 mj	 Halwa block aaittalle irikkunne	
 stranger	 <Media omitted>	
 mj	 Aana 😅👍🏻	
 stranger	 sunday	
 mj	 Ya	
 mj	 I'm the sorry aliya	
 stranger	 Hi hihi	
 mj	 🤭	
 mj	 Verthinking?🤔	
 stranger	 Kuntham poda	
 stranger	 Dareahhhh atha life ahhh	
 mj	 🙄	
 mj	 Life	
 stranger	 😓	
 stranger	 Ahda	
 stranger	 Clg life mathyarnu alle	
 stranger	 😒	
 mj	 🥺	
 mj	 Ninda college life aanallo😓	
 stranger	 Njn ninta karya parnje	
 mj	 😓	
 mj	 Inne ille?	
 stranger	 Ind da trainil	
 mj	 Aaha	
 mj	 👍🏻	
 mj	 Ede train?	
 stranger	 Punalur kanyakumari	
 mj	 Nee ippo train il aaya	
 stranger	 Oh da	
 stranger	 Busil cash koduttu mudinju	
 mj	 Appo thiricho?	
 stranger	 Yada	
 mj	 Thirichum train aano?	
 stranger	 Ahda🙁	
 mj	 Ede?	
 stranger	 Oh	
 mj	 Train name 🙆🏻‍♂	
 stranger	 Punalur kanyakumari da	
 stranger	 Name angnaryu	
 mj	 Nee adilano pone?	
 mj	 Njan chilappozhokke adila pone	
 stranger	 Eh🙄	
 stranger	 Oh angna	
 mj	 Veetil pone	
 stranger	 Ahda njn ithilada pone	
 stranger	 Clg pone	
 stranger	 Vettil kottaym train indallo 3	30 athila pone
 mj	 Aaha 😄👍🏻	
 stranger	 😁	
 stranger	 Ettarayada	
 mj	 Ok di happy day	
 stranger	 Pinne kanam bye	
 stranger	 Vo happy oda happyah 😆😆😉	
 stranger	 ❤	
 stranger	 Cya	
 mj	 Bye 👋🏻👋🏻	
 stranger	 👋🏻👋🏻👋🏻	
 stranger	 😃mathya	
 mj	 😇	
 stranger	 Dp polichallo bhaiiiii	
 stranger	 Da ni hair straight chythada pulle	
 stranger	 Nthylmpolichutta	
 stranger	 <Media omitted>	
 mj	 😂😂😂😂	
 mj	 Straight cheydilla. Aa pazhaya mudi thanna	
 mj	 Aadyaitta ingana orale parayane. Kridapthanai 😢😌😍	
 stranger	 🤣🤣🤣🤦🏻‍♀❤poda	
 stranger	 Poda ninta pazhaya mudya	
 mj	 Sathyam	
 stranger	 Vishavasikan pattunilla😨😨😨😨	
 mj	 Yea. That hair.	
 stranger	 Ahda	
 stranger	 😍	
 mj	 Kulichitte dry aai thalel thottillel ingana irikkum. Aarelum vanne kai vecha theernne	
 stranger	 🤣🤣🤣🤣🤦🏻‍♀🙏🏻	
 mj	 😇	
 mj	 Happy timing	
 stranger	 ❤	
 mj	 Trying	
 stranger	 ❤	
 mj	 ☺	
 stranger	 😊	
 stranger	 Da	
 stranger	 200 bugs inda  edukN	
 stranger	 After Feb 1 tarm	
 mj	 Tez?	
 stranger	 OK 😍	
 mj	 Or hi ayakke. Enda ee number thanna	
 stranger	 <Media omitted>	
 stranger	 AnsaR BroTvm.vcf (file attached)	
 stranger	 Da eh numilitto 200 bugs	
 stranger	 Ketto	
 mj	 Ok	
 mj	 Done	
 stranger	 ❤😘	
 stranger	 Sndya	
 mj	 Monday alle 🤔	
